seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
3,objective_specific_noise,standard,Standard scalarized BT,0.6663868506510426,0.023736365419057194,0.11211089864381162,0.6771628084201623,0.01813254388796911,0.10221006510367142,0.1895533399170643,-0.6419787406921387,-0.08371085673570633,0.3,-0.9139247536659241,1.2,-0.7778672575950623,0.7
3,objective_specific_noise,shared_precision,Shared-precision BT,0.6404778969818286,0.01712209470227195,0.10390766575392404,0.6616290932813159,0.0131333224210947,0.08729204413754293,0.1895533399170643,-0.6419787406921387,-0.08371085673570633,0.3,-0.9139247536659241,1.2,-0.7778672575950623,0.7
3,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6739587074466138,0.01679206863373924,0.09745754094771623,0.17884420782086496,-0.6419787406921387,-0.08371085673570633,0.3,-0.9139247536659241,1.2,-0.7778672575950623,0.7
3,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6362052262735347,0.015045695464409838,0.09374002338374977,0.6580299110413266,0.011793050995398673,0.08218339873308506,0.17884420782086496,-0.6419787406921387,-0.08371085673570633,0.3,-0.9139247536659241,1.2,-0.7778672575950623,0.7
3,objective_specific_noise,oracle,Oracle latent utility,,,,0.6322412184404382,0.0,0.0,0.0,-0.6419787406921387,-0.08371085673570633,0.3,-0.9139247536659241,1.2,-0.7778672575950623,0.7
4,objective_specific_noise,standard,Standard scalarized BT,0.6715191014171918,0.023347071839402253,0.11090434540454083,0.675191912046556,0.017788691836496465,0.1011146512891244,0.19978292294444877,-0.6334715485572815,-0.1089342013001442,0.3,-1.1216181516647339,1.2,-0.49537381529808044,0.7
4,objective_specific_noise,shared_precision,Shared-precision BT,0.6434899539108356,0.017113990000950915,0.10362673987128182,0.6605652155707804,0.013024193665034366,0.08680520241442778,0.19978292294444877,-0.6334715485572815,-0.1089342013001442,0.3,-1.1216181516647339,1.2,-0.49537381529808044,0.7
4,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6713402323437279,0.01603824540051848,0.09492721522667714,0.18241899602033151,-0.6334715485572815,-0.1089342013001442,0.3,-1.1216181516647339,1.2,-0.49537381529808044,0.7
4,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.637102206184491,0.014618372486359969,0.09215091974648738,0.6561963164444344,0.011195032871347141,0.07994472992447266,0.18241899602033151,-0.6334715485572815,-0.1089342013001442,0.3,-1.1216181516647339,1.2,-0.49537381529808044,0.7
4,objective_specific_noise,oracle,Oracle latent utility,,,,0.6318503478901509,0.0,0.0,0.0,-0.6334715485572815,-0.1089342013001442,0.3,-1.1216181516647339,1.2,-0.49537381529808044,0.7
5,objective_specific_noise,standard,Standard scalarized BT,0.6590604392827903,0.02359097884388774,0.11099797525617511,0.6745625530218442,0.018104335649999928,0.10196780434351375,0.19561970870940537,-0.6031090617179871,-0.05491499602794647,0.3,-1.0257987976074219,1.2,-0.5212612748146057,0.7
5,objective_specific_noise,shared_precision,Shared-precision BT,0.6350859426391244,0.017227477240270045,0.10340482556357251,0.6596075507717664,0.013332484260731595,0.08762911569858411,0.19561970870940537,-0.6031090617179871,-0.05491499602794647,0.3,-1.0257987976074219,1.2,-0.5212612748146057,0.7
5,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.6704232094257718,0.016382870470942855,0.09592904145116236,0.18259573014524208,-0.6031090617179871,-0.05491499602794647,0.3,-1.0257987976074219,1.2,-0.5212612748146057,0.7
5,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6288090862694741,0.014724418280654208,0.09183044379038453,0.6554668615275284,0.011591587119581621,0.08114788914481069,0.18259573014524208,-0.6031090617179871,-0.05491499602794647,0.3,-1.0257987976074219,1.2,-0.5212612748146057,0.7
5,objective_specific_noise,oracle,Oracle latent utility,,,,0.6297306167608318,0.0,0.0,0.0,-0.6031090617179871,-0.05491499602794647,0.3,-1.0257987976074219,1.2,-0.5212612748146057,0.7
6,objective_specific_noise,standard,Standard scalarized BT,0.6688489031747565,0.02392809725761247,0.11213818085977334,0.6770646703984514,0.018135587125502253,0.10235957556922926,0.1913595720742503,-0.5223202109336853,0.09279587864875793,0.3,-0.9989362359046936,1.2,-0.4705202281475067,0.7
6,objective_specific_noise,shared_precision,Shared-precision BT,0.6412860067760155,0.016954698218177744,0.10071427242286879,0.6628956324872965,0.013603249945032099,0.08830506678133866,0.1913595720742503,-0.5223202109336853,0.09279587864875793,0.3,-0.9989362359046936,1.2,-0.4705202281475067,0.7
6,objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,,,,0.672124467873647,0.01628806755759337,0.09590839276571075,0.17789613275416238,-0.5223202109336853,0.09279587864875793,0.3,-0.9989362359046936,1.2,-0.4705202281475067,0.7
6,objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,0.6343428627829465,0.014690050866760267,0.09286066913958572,0.6576410018916682,0.011705250894891968,0.08204381532077804,0.17789613275416238,-0.5223202109336853,0.09279587864875793,0.3,-0.9989362359046936,1.2,-0.4705202281475067,0.7
6,objective_specific_noise,oracle,Oracle latent utility,,,,0.6313842496208788,0.0,0.0,0.0,-0.5223202109336853,0.09279587864875793,0.3,-0.9989362359046936,1.2,-0.4705202281475067,0.7
7,objective_specific_noise,standard,Standard scalarized BT,0.6625677379552474,0.023588938278572242,0.11162690472837992,0.6795384283120557,0.01785009597272502,0.10120296053038219,0.1930312377589616,-0.7165525555610657,-0.15167275071144104,0.3,-1.2317882776260376,1.2,-0.574312686920166,0.7
7,objective_specific_noise,shared_precision,Shared-precision BT,0.6389730851875068,0.017336717545733512,0.10574616401925722,0.6625152420616431,0.012624769574652923,0.08584788945988236,0.1930312377589616,-0.7165525555610657,-0.15167275071144104,0.3,-1.2317882776260376,1.2,-0.574312686920166,0.7
