dgp,model,test_nll,prob_mse,prob_mae,precision_mae,seed,learned_b_global,learned_b_obj0,learned_b_obj1
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6205938319980654,0.0017486776565371152,0.02827633909746217,,1,-0.07436401396989822,0.21537746,-0.38569328
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6201425710023581,0.0013819515673258013,0.02704334517800563,,2,0.03655180335044861,0.25869754,-0.21506113
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6237434041137674,0.001399207786900319,0.027343452239414624,,3,0.03227809816598892,0.32781202,-0.29484662
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.616191348135592,0.0013859973036716533,0.027347755288352885,,4,0.12045150250196457,0.3577192,-0.10464946
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6156274031217375,0.0018721045371174326,0.02951643757543443,,5,-0.08612411469221115,0.2708412,-0.455192
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6180001077654484,0.001349111222190341,0.027203879031821157,,6,0.07062048465013504,0.27346832,-0.13197649
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6152407170533452,0.001331438038503099,0.027038152357997672,,7,0.06571715325117111,0.27263635,-0.16028509
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6317371990469639,0.001305388781942361,0.026774976505498118,,8,0.0830007940530777,0.3124492,-0.17437096
label_flip_noise,Global uncertainty BT: sigmoid(exp(b) gap),0.6287154063344109,0.001405489908522421,0.027240857394348363,,9,0.027604149654507637,0.3028931,-0.2664585
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6185494209271029,0.00015862601432435925,0.008799676432871507,,0,0.04977346584200859,0.301378,-0.2269021
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.616597695520245,0.0004954218981211464,0.018367121094095756,,1,-0.07436401396989822,0.21537746,-0.38569328
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6166196591760085,0.00020748405612988456,0.010829111414880698,,2,0.03655180335044861,0.25869754,-0.21506113
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6203988847595118,0.00021785682997679286,0.009826022840075757,,3,0.03227809816598892,0.32781202,-0.29484662
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6128407230081091,0.00022595778628053075,0.006592096418914619,,4,0.12045150250196457,0.3577192,-0.10464946
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6100263428039258,0.0005847971339418463,0.017903434712283933,,5,-0.08612411469221115,0.2708412,-0.455192
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.613591761720056,0.00021491258713552509,0.00879582384009525,,6,0.07062048465013504,0.27346832,-0.13197649
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6114214975876759,0.0001901525070355911,0.009038973592278367,,7,0.06571715325117111,0.27263635,-0.16028509
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6282427401520517,0.0001514074809589317,0.007218457435461832,,8,0.0830007940530777,0.3124492,-0.17437096
label_flip_noise,Objective-specific uncertainty BT: sigmoid(exp(b_i) gap),0.6239777900821919,0.0001902877672142277,0.009833160266566986,,9,0.027604149654507637,0.3028931,-0.2664585
label_flip_noise,Oracle p*,0.6177300354145063,0.0,0.0,,0,0.04977346584200859,0.301378,-0.2269021
label_flip_noise,Oracle p*,0.615769685503541,0.0,0.0,,1,-0.07436401396989822,0.21537746,-0.38569328
label_flip_noise,Oracle p*,0.6158494120005619,0.0,0.0,,2,0.03655180335044861,0.25869754,-0.21506113
label_flip_noise,Oracle p*,0.6202209840906308,0.0,0.0,,3,0.03227809816598892,0.32781202,-0.29484662
label_flip_noise,Oracle p*,0.612064777358356,0.0,0.0,,4,0.12045150250196457,0.3577192,-0.10464946
label_flip_noise,Oracle p*,0.6083094908843762,0.0,0.0,,5,-0.08612411469221115,0.2708412,-0.455192
