dgp,model_key,model,weight,mo_nll,mo_prob_mse,mo_prob_mae,seed,decision_regret
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.33,0.33,0.33)",0.6748189417093752,0.007092748608853415,0.06668500528597274,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.20,0.60,0.20)",0.681311213581126,0.01469746612547225,0.09627572732676672,2,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.60,0.30,0.10)",0.6710939168042475,0.005197311458223157,0.05722213962879457,2,
objective_specific_noise,oracle,Oracle latent utility,"(1.00,0.00,0.00)",0.6000293934133877,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,1.00,0.00)",0.5956976526648644,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.5971304423746683,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6621352242325497,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6377293355223397,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6286507117060449,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6607974366817382,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6499900815953595,0.0,0.0,2,
objective_specific_noise,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.6593169014968797,0.0,0.0,2,
objective_specific_noise,standard,Standard scalarized BT,"(1.00,0.00,0.00)",0.6096358042698597,0.003972174242912756,0.049367291940623295,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.7346472124424052,0.047429850748011745,0.17566308420512483,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.6548137863235434,0.01980707126624709,0.11130231978568676,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.50,0.00)",0.6945528424120673,0.018613326843140068,0.11053349172239123,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.6522515500626349,0.007031308977616695,0.0666381334720267,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.6982319146598109,0.021457774088860578,0.11778702926723067,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6681760240785687,0.011696268370933769,0.08686161029044065,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.7103309271135917,0.02449038403988856,0.12718739214677957,3,
objective_specific_noise,standard,Standard scalarized BT,"(0.60,0.30,0.10)",0.6718252144189785,0.00869473641411073,0.07455023310273896,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6116514414290753,0.004676976519134857,0.05602847593120815,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.6841578871097594,0.0347142954606827,0.14797609164562522,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6385095825564555,0.01507647243999902,0.09710188311928898,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.6797342080977499,0.01216818975208478,0.08833339783233404,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.6483937539846907,0.005900999524090915,0.06156315633254858,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6758403584786039,0.015068474014527152,0.09791345694087986,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6632297047154485,0.007966545809847002,0.07108119879299807,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6865773582264929,0.016341926825156373,0.1023142745551486,3,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.6665675449335667,0.00628602144432951,0.06331646208785485,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6096358042698597,0.003972174242912756,0.049367291940623295,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.7346472124424052,0.047429850748011745,0.17566308420512483,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.00,1.00)",0.6548137863235434,0.01980707126624709,0.11130231978568676,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.50,0.00)",0.6865175816550901,0.014388328550519842,0.09681387086709413,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.50,0.00,0.50)",0.6499876383987275,0.006179603483820643,0.06213136967741061,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,0.50,0.50)",0.6960193042032705,0.02088772744151396,0.11611566748942655,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.33,0.33,0.33)",0.6645979421392227,0.009875024013384045,0.07984865180266712,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.20,0.60,0.20)",0.7013901046514944,0.02161504758224558,0.11888034321275343,3,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.60,0.30,0.10)",0.6680189929359109,0.006973790374997503,0.06699526954865931,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(1.00,0.00,0.00)",0.6091572628353952,0.003809276002563981,0.04821166202751983,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,1.00,0.00)",0.6721531616378896,0.031045634879898774,0.13974724007372022,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.00,1.00)",0.6373513497572234,0.014725173575803292,0.09653028033589928,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.50,0.00)",0.6776907389456591,0.010539035944416752,0.08220366841854233,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.50,0.00,0.50)",0.6469894618737583,0.005255464522607237,0.05724292255923436,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.00,0.50,0.50)",0.6711485632071044,0.013725423201874032,0.0936105099158634,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.33,0.33,0.33)",0.6616184369731359,0.007168008724946447,0.06767175597889862,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.20,0.60,0.20)",0.6821090432209119,0.014622395422311144,0.09669268622948222,3,
objective_specific_noise,confidence_preserving_pcma,Confidence-preserving PCMA,"(0.60,0.30,0.10)",0.664051180920861,0.005247046684166392,0.05773986305860517,3,
objective_specific_noise,oracle,Oracle latent utility,"(1.00,0.00,0.00)",0.6007195146914177,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,1.00,0.00)",0.5949690006665554,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.00,1.00)",0.6067075976829308,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.50,0.00)",0.6506558099222511,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.50,0.00,0.50)",0.6383948196307929,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.00,0.50,0.50)",0.6435216115248319,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.33,0.33,0.33)",0.6506540485041669,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.20,0.60,0.20)",0.6487394642302308,0.0,0.0,3,
objective_specific_noise,oracle,Oracle latent utility,"(0.60,0.30,0.10)",0.6558090991107676,0.0,0.0,3,
objective_specific_noise,standard,Standard scalarized BT,"(1.00,0.00,0.00)",0.6054091335447122,0.0040615506559542386,0.04946928224121752,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,1.00,0.00)",0.7234300974451154,0.047119968721739465,0.17456963462011635,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.00,1.00)",0.642920016439302,0.018859696140513058,0.10867411935228861,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.50,0.00)",0.6997567498958011,0.018296415758168212,0.1098066002478839,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.50,0.00,0.50)",0.6450165830116598,0.006679641388034535,0.06498446811080921,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.00,0.50,0.50)",0.6851139880410123,0.021098793822452527,0.11691081812705184,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.33,0.33,0.33)",0.6782793426903793,0.01127610306636121,0.08551452964222861,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.20,0.60,0.20)",0.7220522859092101,0.024251489980567253,0.1263455818554553,4,
objective_specific_noise,standard,Standard scalarized BT,"(0.60,0.30,0.10)",0.674749011441813,0.00845456699467768,0.07375682740506845,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(1.00,0.00,0.00)",0.6085143217649547,0.004684119365568334,0.055908788508069185,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,1.00,0.00)",0.6771446865393699,0.034863869940043174,0.14771590860109485,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.00,1.00)",0.6298682733055823,0.014550934800751753,0.0956281594036099,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.50,0.00)",0.6838015993148613,0.012155965170445662,0.08827852300330759,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.50,0.00,0.50)",0.642960387565951,0.005758559380022822,0.061271239479462974,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.00,0.50,0.50)",0.6671768699584245,0.014833367668822584,0.09671662083530642,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.33,0.33,0.33)",0.6709206448384027,0.007806931436962097,0.07048681476674099,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.20,0.60,0.20)",0.6958540681520411,0.016327823185399375,0.10216929653663284,4,
objective_specific_noise,shared_precision,Shared-precision BT,"(0.60,0.30,0.10)",0.6688460886974367,0.006236172037293487,0.06307147059562522,4,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(1.00,0.00,0.00)",0.6054091335447122,0.0040615506559542386,0.04946928224121752,4,
objective_specific_noise,pcma_normalized,PCMA-normalized scalarization,"(0.00,1.00,0.00)",0.7234300974451154,0.047119968721739465,0.17456963462011635,4,
